epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,338.185,1.23604,0.78888,1.3553,0.94732,0.95445,0.98625,0.70198,1.00167,0.58557,1.30228,0.0011882,0.0011882,0.0011882
43,346.078,1.14394,0.72994,1.32615,0.95504,0.98265,0.99233,0.71412,0.97599,0.54873,1.27234,0.0011684,0.0011684,0.0011684
44,354.15,1.09828,0.94101,1.25623,0.95907,0.96582,0.98785,0.6876,1.0548,0.55913,1.33323,0.0011486,0.0011486,0.0011486
45,361.999,1.1748,0.80328,1.37156,0.95674,0.96529,0.98997,0.70867,1.00772,0.56371,1.303,0.0011288,0.0011288,0.0011288
46,369.912,1.11694,0.7394,1.30878,0.96147,0.97436,0.99125,0.72598,0.94303,0.52563,1.26109,0.001109,0.001109,0.001109
47,378.044,1.03973,0.69547,1.27176,0.97162,0.96545,0.99269,0.75056,0.91985,0.50221,1.22651,0.0010892,0.0010892,0.0010892
48,386.196,1.01919,0.66695,1.24475,0.96937,0.96105,0.98884,0.73806,0.92712,0.53129,1.24768,0.0010694,0.0010694,0.0010694
49,394.048,1.08269,0.69841,1.29002,0.98335,0.98048,0.9935,0.74032,0.95097,0.48938,1.2496,0.0010496,0.0010496,0.0010496
50,401.924,1.0698,0.69548,1.27758,0.97194,0.97669,0.99087,0.74518,0.92367,0.49386,1.22577,0.0010298,0.0010298,0.0010298
51,409.787,1.02804,0.67593,1.24414,0.98545,0.98482,0.99324,0.75251,0.88804,0.47072,1.21175,0.00101,0.00101,0.00101
52,417.839,1.09464,0.69599,1.32688,0.973,0.98915,0.99331,0.76085,0.8695,0.47124,1.19853,0.0009902,0.0009902,0.0009902
53,425.927,1.03441,0.6625,1.25793,0.98053,0.98345,0.99287,0.75176,0.89634,0.4715,1.20488,0.0009704,0.0009704,0.0009704
54,433.795,1.00806,0.66473,1.21998,0.97417,0.98174,0.99327,0.7649,0.88344,0.47253,1.19898,0.0009506,0.0009506,0.0009506
55,441.913,0.9889,0.66351,1.236,0.95547,0.97745,0.99127,0.76029,0.88735,0.48379,1.20519,0.0009308,0.0009308,0.0009308
56,449.768,0.99966,0.64405,1.23135,0.98277,0.97397,0.99308,0.77868,0.83239,0.4679,1.16932,0.000911,0.000911,0.000911
57,457.992,0.99534,0.67108,1.26302,0.96003,0.97397,0.99081,0.74943,0.91256,0.5086,1.24474,0.0008912,0.0008912,0.0008912
58,465.905,1.00626,0.63068,1.21183,0.98271,0.98641,0.9926,0.77813,0.83483,0.45069,1.16806,0.0008714,0.0008714,0.0008714
59,473.793,0.98325,0.62169,1.20622,0.98695,0.98464,0.99465,0.78637,0.81511,0.4386,1.16106,0.0008516,0.0008516,0.0008516
60,481.981,0.92876,0.61255,1.18916,0.99557,0.97522,0.99413,0.7682,0.85043,0.4454,1.19284,0.0008318,0.0008318,0.0008318
61,489.888,0.92837,0.61152,1.19656,0.97622,0.97936,0.99197,0.77455,0.80924,0.44604,1.14657,0.000812,0.000812,0.000812
62,497.766,1.02186,0.61632,1.24053,0.98267,0.98395,0.9935,0.7748,0.79531,0.44196,1.13537,0.0007922,0.0007922,0.0007922
63,505.653,0.94275,0.61494,1.1942,0.98515,0.98265,0.99422,0.79496,0.78359,0.42791,1.12391,0.0007724,0.0007724,0.0007724
64,513.837,0.98901,0.6208,1.2277,0.98488,0.99349,0.99458,0.80223,0.78617,0.41744,1.12722,0.0007526,0.0007526,0.0007526
65,521.925,0.98153,0.59788,1.21366,0.9745,0.9949,0.99416,0.78618,0.77132,0.41079,1.12387,0.0007328,0.0007328,0.0007328
66,529.803,0.91704,0.60026,1.20269,0.99132,0.99144,0.99474,0.81897,0.71923,0.39224,1.08855,0.000713,0.000713,0.000713
67,537.958,0.96291,0.60519,1.29262,0.99504,0.99132,0.99496,0.82417,0.69329,0.37636,1.0742,0.0006932,0.0006932,0.0006932
68,546.232,0.92608,0.56957,1.17951,0.99133,0.9922,0.99496,0.79846,0.75002,0.39869,1.11179,0.0006734,0.0006734,0.0006734
